Rank,Name,Net Worth,Source
1373,Daniel Rocher,$2.4 B,cosmetics
1374,Bris Rocher,$2.4 B,cosmetics
1375,Gilles Martin,$2.4 B,Laboratory services
1376,Jiang Weiping & family,$2.4 B,Chemicals
1377,Solomon Lew,$2.4 B,Retail
1378,Jimmy John Liautaud,$2.4 B,Sandwich chain
1379,Hu Kaijun,$2.4 B,Pharmaceuticals
1380,Pierre van der Mersch,$2.4 B,Investing
1381,Pavel Baudis,$2.4 B,Software
1382,Shlomo Kramer,$2.4 B,"Software, investments"
1383,Bruce Karsh,$2.4 B,Private equity
1384,Steve Case,$2.4 B,AOL
1385,T.Y. Tsai,$2.4 B,Finance
1386,Shi Yuzhu,$2.4 B,"Online games, investments"
1387,Ben Silbermann,$2.4 B,Social media
1388,Andreas Pohl,$2.4 B,Mutual funds
1389,Zhang Jian,$2.4 B,"Electric bikes, scooters"
1390,Huang Li,$2.4 B,Imaging systems
1391,Jim Crane,$2.4 B,"Logistics, baseball"
1392,Sylvia Stroeher,$2.4 B,Cosmetics
1393,Dmitry Mazepin,$2.4 B,Chemicals
1394,Airat Shaimiev,$2.4 B,"Refinery, chemicals"
1395,Henry Davis,$2.4 B,Beef processing
1396,Sam Hupert,$2.4 B,Technology
1397,Georg von Opel,$2.4 B,"Real estate, investments"
1398,Liang Xinjun,$2.4 B,Investments
1399,Sun Shoukuan,$2.4 B,"Metals, coal"
1400,Li Gaiteng,$2.4 B,Hair dryers
1401,Ferit Faik Sahenk,$2.4 B,Diversified
1402,Stephen Rubin,$2.4 B,Sports apparel
1403,Lucio Tan,$2.4 B,Diversified
1404,Alan Trefler,$2.4 B,Software
1405,Bernard Ecclestone & family,$2.4 B,Formula One
1405,David Fong,$2.4 B,Real estate
1407,Ugo Gussalli Beretta & family,$2.4 B,Firearms
1408,David Walentas,$2.3 B,Real estate
1409,Ye Chenghai & family,$2.3 B,Pharmaceuticals
1410,Constantinos Martinos & family,$2.3 B,Shipping
1411,Spiro Latsis & family,$2.3 B,"Banking, shipping"
1412,Basudeo Singh,$2.3 B,Pharmaceuticals
1413,Xie Liangzhi & family,$2.3 B,Biotech
1414,Palmer Luckey,$2.3 B,"Virtual reality, defense technology"
1415,David Nahmad,$2.3 B,Art collection
1416,Daniel Lubetzky,$2.3 B,Snack bars
1417,Shmuel Harlap,$2.3 B,Automotive
1418,Alberto Bombassei,$2.3 B,Automotive brakes
1419,Bob Ell,$2.3 B,Real estate
1420,Karen Virginia Beckmann Legoretta,$2.3 B,Tequila
1421,Frank Laukien,$2.3 B,Scientific equipment
1422,Stein Erik Hagen,$2.3 B,Consumer goods
1423,Solina Chau,$2.3 B,Investments
1424,Prem Kumar Arora,$2.3 B,Pharmaceuticals
1425,Mi Enhua,$2.3 B,Retail
1426,Jin Baofang,$2.3 B,Solar panels
1427,P.P. Reddy,$2.3 B,Infrastructure
1428,Michael Minhong Yu,$2.3 B,Education
1429,Hermanto Tanoko,$2.3 B,Paints
1430,Yeung Kin-man,$2.3 B,Electronics
1431,Alexandre Grendene Bartelle,$2.3 B,Shoes
1432,Adam Neumann,$2.3 B,WeWork
1433,Christopher Rokos,$2.3 B,Hedge fund
1434,Yvonne Bauer,$2.3 B,"Magazines, media"
1435,Lee Bass,$2.3 B,"Oil, investments"
1436,Zhang Fan,$2.3 B,Touch screens
1437,Scott Nuttall,$2.3 B,Private equity
1438,Zygmunt Solorz,$2.3 B,TV broadcasting
1439,Kenneth Hao,$2.3 B,Private equity
1439,Greg Mondre,$2.3 B,Private equity
1439,Egon Durban,$2.3 B,Private equity
1442,Stefan Soloviev,$2.3 B,"Real estate, grains"
1443,Lee Yeow Seng,$2.3 B,"Palm oil, property"
1444,John Fish,$2.3 B,Construction
1445,Mark Davis,$2.3 B,Las Vegas Raiders
1446,Jamie Dimon,$2.3 B,Banking
1447,Zhu Gongshan & family,$2.3 B,Solar panel materials
1448,Leonard Abess,$2.3 B,Banking
1449,Hamdi Ulukaya,$2.3 B,Greek yogurt
1450,Sun Guangxin,$2.3 B,Diversified
1451,D. Leopoldo Del Pino,$2.3 B,Construction
1452,Rolf Gerling,$2.2 B,Insurance
1453,Tom Ford,$2.2 B,Fashion
1454,Anita Zucker,$2.2 B,Chemicals
1455,Jupally Rameshwar Rao,$2.2 B,Real estate
1456,Alexandra Daitch,$2.2 B,Cargill
1456,Lucy Stitzer,$2.2 B,Cargill
1456,Sarah MacMillan,$2.2 B,Cargill
1459,Enrique Coppel Luken,$2.2 B,Diversified
1460,Olivier Bouygues,$2.2 B,"Construction, media"
1461,Martin Bouygues,$2.2 B,"Construction, media"
1462,Carl Ferdinand Oetker,$2.2 B,Consumer goods
1462,Julia Oetker,$2.2 B,Consumer goods
1462,Alfred Oetker,$2.2 B,Consumer goods
1465,Domenico Dolce,$2.2 B,Luxury goods
1465,Stefano Gabbana,$2.2 B,Luxury goods
1467,Reinfried Pohl Jr,$2.2 B,Mutual funds
1468,Michael Ying,$2.2 B,Retail
1469,Ruan Hongliang,$2.2 B,Glass
1470,Noam Gottesman,$2.2 B,Hedge funds
1471,David Booth,$2.2 B,Mutual funds
1472,Alex Beard,$2.2 B,"Mining, commodities"
1473,David Wertheim,$2.2 B,Coca-Cola Israel
1474,Henry Swieca,$2.2 B,Hedge funds
1475,Ryan Smith,$2.2 B,Cloud computing
1476,P.V. Krishna Reddy,$2.2 B,Infrastructure
1477,Tim Cook,$2.2 B,Apple
1478,Lam Wai-ying,$2.2 B,Smartphone screens
1479,Tang Yiu,$2.2 B,Fashion retail
1480,George Yancopoulos,$2.2 B,Pharmaceuticals
1481,Mika Anttonen,$2.2 B,Oil & gas
1482,Cheng Yixiao,$2.2 B,Video streaming app
1483,Mrudula Parekh,$2.2 B,Adhesives
1484,Cheng Xue,$2.2 B,Soy sauce
1485,Radik Shaimiev,$2.2 B,"Refinery, chemicals"
1486,Katarina Martinson,$2.2 B,Investments
1487,Shi Yonghong & family,$2.2 B,Restaurants
1488,Cameron Adams,$2.2 B,Software
1488,Liang Rubo,$2.2 B,TikTok
1490,Brett Blundy,$2.2 B,"Retail, agribusiness"
1491,Albert Shigaboutdinov,$2.2 B,"Refinery, chemicals"
1492,Kamal Ghaffarian,$2.2 B,"Space, energy"
1493,Lawrence Golub,$2.2 B,Private equity
1494,Dermot Desmond,$2.2 B,Finance
1495,Jim Thompson,$2.2 B,Logistics
1496,Rustem Sulteev,$2.2 B,"Refinery, chemicals"
1497,Zhang Bangxin,$2.2 B,Education
1498,Filiz Sahenk,$2.2 B,Diversified
1499,Jonathan Kwok,$2.2 B,Real Estate
1499,Geoffrey Kwok,$2.2 B,Real estate
1501,R.G. Chandramogan,$2.2 B,Dairy
1502,Timothy Dunn & family,$2.2 B,Energy
1503,Alec Gores,$2.2 B,Private equity
1504,Pier Silvio Berlusconi,$2.2 B,Media
1505,Marina Berlusconi,$2.2 B,Media
1506,Henry Sy Jr,$2.2 B,Diversified
1507,Jennifer Pritzker,$2.2 B,"Hotels, investments"
1508,Howard Marks,$2.2 B,Private equity
1509,Lim Kok Thay,$2.2 B,Casinos
1510,Paul Saville,$2.2 B,Homebuilder
1511,Remi Dassault,$2.2 B,Inherited
1511,Helena Dassault,$2.2 B,Inherited
1511,Natacha Nikolajevic,$2.2 B,Inherited
1514,Dmitry Kamenshchik,$2.2 B,Airport
1515,Wu Yiling,$2.2 B,Pharmaceuticals
1516,Larry Robbins,$2.2 B,Hedge funds
1517,Anthony Casalena,$2.2 B,Software
1518,Inder Jaisinghani,$2.2 B,Cables & wires
1519,Steven Meng Yang & family,$2.2 B,Electronics
1520,Julio Bozano,$2.2 B,Banking
1521,Maria Franca Fissolo,$2.2 B,"Nutella, chocolates"
1522,Sheryl Sandberg,$2.2 B,Facebook
1523,Barbara Tyson,$2.2 B,Food processing
1524,Karin Sartorius-Herbst,$2.2 B,Biopharmaceuticals
1525,Dennis Gillings,$2.1 B,Clinical trials
1526,Boris Zingarevich,$2.1 B,"Pulp and paper, diversified"
1527,Bahaa Hariri,$2.1 B,"Real estate, investments"
1528,Deepak Mehta,$2.1 B,Chemicals
1529,Louise Lindh,$2.1 B,Investments
1530,Timothy Boyle,$2.1 B,Columbia Sportswear
1531,Bill Malhotra,$2.1 B,Real estate
1532,Jerry Reinsdorf,$2.1 B,Sports teams
1533,Sam Goi,$2.1 B,Frozen foods
1534,David Mindus,$2.1 B,Real estate
1535,Hans Sy,$2.1 B,Diversified
1536,Heikki Kyostila,$2.1 B,Dental products
1537,Stephan Schmidheiny,$2.1 B,Investments
1538,James Dinan,$2.1 B,Hedge funds
1539,Kommer Damen,$2.1 B,Shipbuilding
1540,Cai Huabo,$2.1 B,Electronics
1541,Alexander Skorobogatko,$2.1 B,"Real estate, airport"
1542,Prayudh Mahagitsiri,$2.1 B,"Coffee, shipping"
1543,Georgi Domuschiev,$2.1 B,"Animal health, investments"
1543,Kiril Domuschiev,$2.1 B,"Animal health, investments"
1545,Ion Tiriac,$2.1 B,"Banking, insurance"
1546,Zakhar Smushkin,$2.1 B,"Pulp and paper, diversified"
1547,Clayton Zekelman,$2.1 B,Steel
1548,Ajay Jaisinghani,$2.1 B,Wires and cables
1549,Chang Kuo-Hua,$2.1 B,"Shipping, airlines"
1550,Fiona Geminder,$2.1 B,Manufacturing
1551,John Hancock,$2.1 B,Mining
1552,Miguel Fluxa Rossello,$2.1 B,Hotels
1553,Candido Pinheiro Koren de Lima & family,$2.1 B,"hospitals, health insurance"
1554,Ramesh Jaisinghani,$2.1 B,Cables and wires
1555,Gordon Getty,$2.1 B,Getty Oil
1556,T. Denny Sanford,$2.1 B,"Banking, credit cards"
1557,Susan Ocampo & family,$2.1 B,Semiconductors
1558,Jack Cockwell,$2.1 B,"Real estate, private equity"
1559,Joseph Bae,$2.1 B,Private equity
1560,Luciano Hang,$2.1 B,Department stores
1561,Ginia Rinehart,$2.1 B,Mining
1562,Fernando Masaveu Herrero,$2.1 B,Diversified
1563,Sandro Veronesi & family,$2.1 B,Fashion
1564,Thomas Wu,$2.1 B,Finance
1565,Bennett Rosenthal,$2.1 B,Finance
1566,David Golub,$2.1 B,Private equity
1567,Alberto Palatchi,$2.1 B,Wedding dresses
1568,Hamad bin Jassim bin Jaber Al Thani,$2.1 B,Investments
1569,Thaksin Shinawatra,$2.1 B,Investments
1570,James Leprino,$2.1 B,Cheese
1571,Bianca Rinehart,$2.1 B,Mining
1571,Hope Welker,$2.1 B,Mining
1573,Park Soon-jae,$2.1 B,Biopharmaceuticals
1574,Pawel Marchewka,$2.1 B,Videogames
1575,Herbert Sy,$2.1 B,Diversified
1576,Steven Sarowitz,$2.1 B,Payroll software
1577,Kim Jun-ki,$2.1 B,Diversified
1578,Thor Bjorgolfsson,$2.1 B,Investments
1579,Andrew Karam,$2.1 B,mobile games
1580,Hui Wing Mau,$2.1 B,Real estate
1581,Fabien Pinckaers,$2.1 B,Software
1582,Valentin Kipyatkov,$2.1 B,Software
1583,Jitendra Virwani,$2.1 B,Real estate
1584,Fernando Roig,$2.1 B,Supermarkets
1585,Igor Makarov,$2.1 B,Investments
1586,Zhang Jingzhang & family,$2.1 B,Precision machinery
1587,Joe Lacob,$2.1 B,Golden State Warriors
1588,Chen Jinxia,$2.1 B,Investments
1589,Jonathan Tisch,$2.1 B,"Loews, New York Giants"
1590,Jeffrey Koo Jr,$2.1 B,Finance
1591,Andrey Andreev,$2.1 B,Online dating
1592,Tim Draper,$2.0 B,cryptocurrency
1593,Elisabeth Douglas,$2.0 B,Investments
1594,David Adelman,$2.0 B,"Real estate, asset management"
1595,Hu Rongda & family,$2.0 B,Chemicals
1596,Zhang Li,$2.0 B,Real estate
1597,Dhruv Sawhney,$2.0 B,"Engineering, sugar"
1598,Patrick Hanrahan,$2.0 B,Software
1599,Michael Ashcroft,$2.0 B,Security
1600,Zou Zhinong & family,$2.0 B,communication equipment
1601,Raj Sardana,$2.0 B,Technology services
1602,Craig McCaw,$2.0 B,Telecom
1603,Elaine Wynn,$2.0 B,"Casinos, hotels"
1604,B. Wayne Hughes Jr,$2.0 B,Storage facilities
1605,Alice Schwartz,$2.0 B,Biotech
1606,Ling Tang,$2.0 B,Mobile games
1607,Thomas Steyer,$2.0 B,Hedge funds
1608,Marcelo Claure,$2.0 B,Cell phone distribution
1609,Mehmet Sinan & Family Tara,$2.0 B,Construction
1610,Kie Chie Wong,$2.0 B,Investments
1611,Edward Lampert,$2.0 B,Sears
1612,Katsumi Tada,$2.0 B,Real estate
1613,Shen Xiqiang & family,$2.0 B,Chemical
1614,Safra Catz,$2.0 B,Software
1615,Qi Jinxing,$2.0 B,Real estate
1616,Tom Werner,$2.0 B,Sports teams
1617,Linda Pritzker,$2.0 B,"Hotels, investments"
1618,Kabir Mulchandani,$2.0 B,Real estate
1619,Simon Nixon,$2.0 B,Price comparison website
1620,Amy Adams Strunk,$2.0 B,Tennessee Titans
1621,Dragos Paval,$2.0 B,Retail
1622,Karin Schick,$2.0 B,Information technology
1623,William Boyd & family,$2.0 B,"Casinos, banking"
1624,Yoshiko Mori,$2.0 B,Real estate
1625,Charlotte Colket Weber,$2.0 B,Campbell Soup
1626,Oren Zeev,$2.0 B,Investments
1627,A. Jayson Adair,$2.0 B,Damaged cars
1628,Samuel Chen,$2.0 B,Investments
1629,S.D. Shibulal,$2.0 B,Software services
1630,David Lichtenstein,$2.0 B,Real estate
1631,Dong Jinggui,$2.0 B,Electric scooters
1632,Eugene Kaspersky,$2.0 B,Software
1633,Mustafa Kucuk,$2.0 B,Fashion retail
1634,Esther Grether,$2.0 B,Art collection
1635,Hou Juncheng,$2.0 B,Cosmetics
1636,Gary Chouest & family,$2.0 B,Shipping
1637,Dan Wilks,$2.0 B,Natural gas
1638,Ales Zavoral,$2.0 B,E-commerce
1639,Wong Man Li,$2.0 B,Furniture
1640,Clifford Asness,$2.0 B,Money management
1641,Adam Kwok,$2.0 B,Real estate
1642,Howard Butt III & family,$2.0 B,Supermarkets
1643,Dominika Kulczyk,$2.0 B,Diversified
1644,Devi Shetty,$2.0 B,Healthcare
1645,Alexander Ponomarenko,$2.0 B,"Real estate, airport"
1646,Xu Shugen,$2.0 B,"Construction, mining machinery"
1647,An Kang,$2.0 B,Pharmaceuticals
1648,Amy Wyss,$2.0 B,Medical equipment
1649,David Kaplan,$2.0 B,Finance
1650,James Scapa,$2.0 B,Software
1651,Chu Lam Yiu,$2.0 B,Flavorings
1652,Mofatraj Munot,$2.0 B,Real estate
1653,Charles Ergen,$2.0 B,Satellite TV
1654,Gerry Harvey,$2.0 B,Retail
1655,Wei Ing-Chou,$2.0 B,"Food, beverages"
1656,Parker Conrad,$2.0 B,Software
1657,Victor Pinchuk,$2.0 B,"Steel pipes, diversified"
1658,Stephen Butt & family,$2.0 B,Supermarkets
1659,Harley Sy,$2.0 B,Diversified
1660,Pawan Munjal,$2.0 B,Motorcycles
1661,Stephen Orenstein & family,$2.0 B,Supply chain services
1662,Irfan Razack,$2.0 B,Real estate
1663,Zhu Xingming,$2.0 B,Electrical equipment
1664,Francois Feuillet & family,$2.0 B,"Motorhomes, RVs"
1665,Larry Connor & family,$2.0 B,Real estate
1666,Richard Fortin,$2.0 B,Convinience stores
1667,Alexandr Wang,$2.0 B,artificial intelligence
1668,Marc Lipschultz,$2.0 B,Private equity
1669,Bambang Sutantio,$2.0 B,Dairy & consumer products
1670,M.Satyanarayana Reddy,$2.0 B,Pharmaceuticals
1671,Farris Wilks,$2.0 B,Natural gas
1672,William Koch,$2.0 B,"Oil, investments"
1673,Christopher Goldsbury,$2.0 B,Salsa
1674,Alex Birkenstock,$2.0 B,Shoes
1675,Roberto Angelini Rossi,$1.9 B,"Forestry, mining"
1676,Sergei Katsiev,$1.9 B,"Retail, wholesale"
1677,Rezwan Razack,$1.9 B,Real estate
1678,Wei Yin-Chun,$1.9 B,"Food, beverages"
1678,Wei Ying-Chiao,$1.9 B,"Food, beverages"
1678,Wei Yin-Heng,$1.9 B,"Food, beverages"
1681,John Goff,$1.9 B,Real estate
1682,Wang Yanqing & family,$1.9 B,Electrical equipment
1683,Noaman Razack,$1.9 B,Real estate
1684,Peter Leibinger,$1.9 B,Machine tools
1684,Regine Leibinger,$1.9 B,Machine tools
1684,Nicola Leibinger-Kammueller,$1.9 B,Manufacturing
1687,David Zalik,$1.9 B,Financial technology
1688,Hal Jackman,$1.9 B,"Insurance, investments"
1689,Mu Rongjun,$1.9 B,E-commerce
1690,Nicola Bulgari,$1.9 B,Luxury goods
1691,Michael Arougheti,$1.9 B,Finance
1692,Wang Xicheng & family,$1.9 B,Tires
1693,Riaz Valani,$1.9 B,E-cigarettes
1694,Terry Taylor,$1.9 B,Car dealerships
1695,Leslie Alexander,$1.9 B,Sports team
1696,Hamdi Akin & family,$1.9 B,Diversified
1697,Peter Sondakh,$1.9 B,Investments
1698,Luiz Frias,$1.9 B,Media
1699,Evan Williams,$1.9 B,Twitter
1700,Vinod Saraf,$1.9 B,Chemicals
1701,Todd Wagner,$1.9 B,Online media
1702,Kochouseph Chittilappilly,$1.9 B,Electrical appliances
1703,Zhou Hongyi,$1.9 B,Security software
1704,Vladislav Filev & family,$1.9 B,Airlines
1705,John Abele,$1.9 B,Healthcare
1706,Will Adderley,$1.9 B,Home furnishings
1707,Strive Masiyiwa,$1.9 B,Telecom
1708,Huijiao Yu,$1.9 B,Package delivery
1709,Kagemasa Kozuki,$1.9 B,Video games
1710,Anil Gupta,$1.9 B,Cables
1711,Girdhari Lal Bawri,$1.9 B,Pharmaceuticals
1712,Scott Lin,$1.9 B,Optical components
1713,Wu Shaoxun,$1.9 B,Wine
1714,Keith Dunleavy & family,$1.9 B,Health IT
1715,Phillip Frost,$1.9 B,Pharmaceuticals
1716,Ronald Perelman,$1.9 B,Leveraged buyouts
1717,Roberto Hernandez Ramirez,$1.9 B,"Banking, investments"
1718,Karl-Johan Persson,$1.9 B,H&M
1719,Oei Hong Leong,$1.9 B,Investments
1720,Ramesh Kunhikannan,$1.9 B,Electronics
1721,Conni Jonsson,$1.9 B,Asset management
1722,Zhou Jian,$1.9 B,robotics
1723,Chirayu Amin,$1.9 B,Pharmaceuticals
1724,Satish Reddy,$1.9 B,Pharmaceuticals
1725,Teresita Sy-Coson,$1.9 B,Diversified
1726,Duke Reyes,$1.9 B,Beer distribution
1727,Marc Lasry,$1.9 B,Hedge funds
1728,William Foley II,$1.9 B,Financial services
1729,Wang Junmin,$1.9 B,Pharmaceuticals
1730,Gavril Yushvaev & family,$1.9 B,"Precious metals, real estate"
1731,Jay Hennick,$1.9 B,Real estate finance
1732,Alex Shevchenko,$1.9 B,Software
1732,Max Lytvyn,$1.9 B,Software
1734,Jose Roberto Marinho,$1.9 B,Media
1735,Joao Roberto Marinho,$1.9 B,Media
1736,Manfredi Lefebvre d'Ovidio & family,$1.9 B,Cruises
1737,Massimo Moratti,$1.9 B,Oil refinery
1738,Chow Shing Yuk,$1.9 B,Logistics
1739,Pavan Jain,$1.9 B,Chemicals
1740,Ilson Mateus & family,$1.9 B,Supermarkets
1741,Herbert Allen Jr & family,$1.9 B,Investment banking
1742,Otto Toto Sugiri,$1.9 B,Data centers
1743,Mario Gabelli,$1.9 B,Money management
1744,Gao Jifan & family,$1.9 B,Solar equipment
1745,Banwari Lal Bawri,$1.9 B,Pharmaceuticals
1746,Rajendra Agarwal,$1.9 B,Pharmaceuticals
1747,James Leininger,$1.9 B,Medical products
1748,Shu Ping,$1.9 B,Restaurants
1749,Sefik Yilmaz Dizdar,$1.8 B,Fashion retail
1750,Suman Munjal,$1.8 B,Motorcycles
1751,Ni Yongpei & family,$1.8 B,Beverages
1752,Stefan Olsson,$1.8 B,Diversified
1753,Dmitry Nikolaev,$1.8 B,Coal
1754,Renu Munjal,$1.8 B,Motorcycles
1755,Jorge Mas,$1.8 B,Construction
1756,Marc Andreessen,$1.8 B,Venture capital investing
1757,Peter Lim,$1.8 B,Investments
1758,Brian Roberts,$1.8 B,Comcast
1759,Huang Yi,$1.8 B,Car dealerships
1760,Nihat Ozdemir,$1.8 B,Diversified
1761,Roberto Irineu Marinho,$1.8 B,Media
1762,Marianna Latsis & family,$1.8 B,"Banking, shipping"
1763,Michael Heine,$1.8 B,Financial services
1764,Alan Miller & family,$1.8 B,Healthcare services
1765,Edir Macedo & family,$1.8 B,broadcasting
1766,Cynthia Helena Grossman Fleishman,$1.8 B,Arca Continental
1767,Ho Hung Anh,$1.8 B,"Consumer products, banking"
1768,Cho Jyh-jer,$1.8 B,Semiconductors
1769,Irving Grousbeck & family,$1.8 B,"Telecommunication, sports"
1770,Christoph Henkel,$1.8 B,Consumer goods
1771,Dong Wei,$1.8 B,Pharmaceuticals
1772,Binod Chaudhary,$1.8 B,Diversified
1773,Phongthep Chiaravanont,$1.8 B,Diversified
1774,Sezai Bacaksiz,$1.8 B,Diversified
1775,Sun Mengquan & family,$1.8 B,Edible oil
1776,Wichai Thongtang,$1.8 B,"Healthcare, Investments"
1777,Vladimir Fartushnyak,$1.8 B,retail
1778,Wang Wenjing,$1.8 B,Business software
1779,Zhang Wanzhen,$1.8 B,Electronics components
1780,Tom Persson,$1.8 B,H&M
1781,Huang Zhenda & family,$1.8 B,Construction
1782,Robert Miller,$1.8 B,Retail
1783,Brian Higgins,$1.8 B,Hedge funds
1783,O. Francis Biondi,$1.8 B,Hedge funds
1785,Sergei Sudarikov,$1.8 B,"Finance, development"
1786,Mark Coombs,$1.8 B,Finance
1787,Richard Chang,$1.8 B,"Real estate, electronics"
1788,Wong Luen Hei,$1.8 B,Building materials
1789,Rubén Coppel Luken,$1.8 B,Diversified
1790,V. Prem Watsa,$1.8 B,"Insurance, investments"
1791,Somsri Lamsam,$1.8 B,Diversified
1792,Terry Snow,$1.8 B,"Airports, real estate"
1793,John de Mol,$1.8 B,TV programs
1794,Andreas Martinos & family,$1.8 B,Shipping
1795,Kristo Käärmann,$1.8 B,"Payments, banking"
1796,David Teoh,$1.8 B,Telecom
1797,Sabrina Benetton,$1.8 B,"Fashion retail, investments"
1798,Manas Chiaravanond,$1.8 B,Diversified
1799,Alfredo Egydio Arruda Villela Filho,$1.8 B,Banking
1800,Hong Jie,$1.8 B,Paint
1801,Lin Xiucheng & family,$1.8 B,Electronics
1802,Wang Junshi & family,$1.8 B,Solar inverters
1803,Duncan MacMillan,$1.8 B,Bloomberg LP
1804,Shyam Bhartia,$1.8 B,"Pharmaceuticals, food"
1805,Charlotte Soderstrom,$1.8 B,H&M
1806,Hari Bhartia,$1.8 B,Diversified
1807,Marek Dospiva,$1.8 B,Investments
1808,Mario Germano Giuliani,$1.8 B,Pharmaceuticals
1809,Zhao Tao,$1.8 B,Pharmaceuticals
1810,Sathien Sathientham,$1.8 B,Energy drinks
1811,Adriaan Mol,$1.8 B,Fintech
1812,James France,$1.8 B,"Nascar, racing"
1813,Prathip Chiravanond,$1.8 B,Diversified
1814,Jaroslav Hascak & family,$1.8 B,Investments
1815,Liang Yunchao,$1.8 B,Nutritional supplements
1816,Qiu Wensheng,$1.8 B,Manufacturing
1817,Pierre Karl Péladeau,$1.8 B,Media
1818,Lesley Bamberger,$1.8 B,Real estate
1819,Yan Zhi,$1.8 B,Real estate
1820,Amnon Shashua,$1.8 B,Automotive technology
1821,Zadik Bino & family,$1.8 B,"Banking, oil"
1822,Mohammed Dewji,$1.8 B,Diversified
1823,Gary Michelson,$1.8 B,Medical patents
1824,Jared Isaacman,$1.8 B,Payment processing
1825,Liu Wei,$1.8 B,Mobile gaming
1826,Jiang Yintai & family,$1.8 B,Auto parts
1827,Wu Kai,$1.8 B,Batteries
1828,Maike Oberwelland-Height,$1.8 B,Candy
1829,Radhe Shyam Agarwal,$1.8 B,consumer goods
1830,Jim Breyer,$1.8 B,Venture capital
1831,Rubens Menin Teixeira de Souza,$1.8 B,"home building, banking"
1832,Masateru Uno & family,$1.8 B,Drugstores
1833,Ezra Nahmad,$1.8 B,Art
1834,David Paul,$1.7 B,Medical devices
1835,Jerry Moyes & family,$1.7 B,Transportation
1836,George Joseph,$1.7 B,Insurance
1837,Yeh Kuo-I,$1.7 B,Manufacturing
1838,Andrew Tan,$1.7 B,Diversified
1839,Michael Rees,$1.7 B,Private equity
1840,Wilma Tisch,$1.7 B,Loews
1841,Alan Zekelman,$1.7 B,Steel
1842,Kim Kardashian,$1.7 B,"Shapewear, skincare"
1843,Paul Sciarra,$1.7 B,Pinterest
1844,William Lauder,$1.7 B,Estee Lauder
1845,Don Levin,$1.7 B,rolling papers
1846,Zhao Fenggang,$1.7 B,Batteries
1847,Bang Si-hyuk,$1.7 B,Entertainment
1848,Yin Yee Lee,$1.7 B,Glass
1849,Giovanni Arvedi,$1.7 B,Steel
1850,Dong Fan,$1.7 B,Medical devices
1851,Alain Taravella,$1.7 B,Real estate development
1852,Gregg Hymowitz,$1.7 B,Asset management
1853,Drew Houston,$1.7 B,Cloud storage service
1854,Suhail Bahwan,$1.7 B,Diversified
1855,Suresh Krishna,$1.7 B,Auto parts
1856,Philippe Ginestet & family,$1.7 B,Retail stores
1857,Richard Hayne,$1.7 B,Urban Outfitters
1858,Gary Fegel,$1.7 B,"Commodities, investments"
1859,Ke Zunhong & family,$1.7 B,Pharmaceuticals
1860,Fritz Draexlmaier,$1.7 B,Auto parts
1861,Shao Qinxiang,$1.7 B,Diversified
1862,Robert Fisher,$1.7 B,Gap
1863,Tony Xu,$1.7 B,food delivery service
1864,Wee Ee Cheong,$1.7 B,Banking
1865,Wang Changtian,$1.7 B,"TV, movie production"
1866,Lee Dong-chae,$1.7 B,Chemicals
1867,Vladimir Yevtushenkov,$1.7 B,"Telecom, investments"
1868,Zbigniew Juroszek & family,$1.7 B,"Real estate, gambling"
1869,Elizabeth Sy,$1.7 B,Diversified
1870,Rameshchandra Jain,$1.7 B,Textiles
1871,José Coppel Luken,$1.7 B,Diversified
1871,Alberto Coppel Luken,$1.7 B,Diversified
1873,Rajinder Gupta,$1.7 B,"Textiles, paper"
1874,Koo Kwang-mo,$1.7 B,LG
1875,Sergey Lomakin,$1.7 B,Retail
1876,Liora Ofer,$1.7 B,Investments
1877,Vladimir Melnikov,$1.7 B,Fast fashion
1878,Ulrike Meister,$1.7 B,Appliances
1879,Wang Chaobin,$1.7 B,Real estate
1880,Matthew Pritzker,$1.7 B,"Hotels, investments"
1881,Hu Yangzhong,$1.7 B,Technology
1882,Sam Chong,$1.7 B,Mining
1883,Torsten Toeller,$1.7 B,Pet food
1884,Lorinc Meszaros,$1.7 B,Diversified
1885,Franziska Wuerbser,$1.7 B,Kitchen appliances
1886,Wang Zhenghua,$1.7 B,Budget airline
1887,Gabriella Meister,$1.7 B,Appliances
1888,Ulrike Baro,$1.7 B,Biopharmaceuticals
1889,Norbert Dentressangle & family,$1.7 B,"Transport, logistics"
1890,Girdhari Jaisinghani,$1.7 B,Cables & wires
1891,Li Rucheng,$1.7 B,Apparel
1892,Manoj Punjabi,$1.7 B,Movies
1893,Faisal Bin Qassim Al Thani,$1.7 B,"Hotels, diversified"
1894,Xu Yingzhuo,$1.7 B,Agribusiness
1895,Georg Haub,$1.7 B,Retail
1896,Yuan Fugen & family,$1.7 B,Metal processing
1897,Weng Xianding,$1.7 B,Medical devices
1898,Lu Di,$1.7 B,Drones
1899,Anthony Wood,$1.7 B,Roku
1900,Amit Burman,$1.7 B,Consumer goods
1901,Ron Corio,$1.7 B,Solar
1901,Peter Sperling,$1.7 B,Education
1903,Pieter van der Does,$1.7 B,Payments software
1904,Jorge Perez,$1.7 B,Real estate
1905,Thomas Kwok,$1.7 B,Real estate
1906,Stanley Hubbard,$1.7 B,DirecTV
1907,Zhao Lixin,$1.7 B,Electronics
1908,Andres Santo Domingo,$1.7 B,Beer
